"Date/Time","Year","Month","Day","Time","Temp","Weather"
"2012-01-13 06:00","2012","01","13","06:00","-22.1","Mainly Clear"
"2012-01-13 07:00","2012","01","13","07:00","-22.3","Mainly Clear"
"2012-01-13 08:00","2012","01","13","08:00","-23.2","Clear"
"2012-01-13 09:00","2012","01","13","09:00","-21.5","Mainly Clear"
"2012-01-13 10:00","2012","01","13","10:00","-19.6","Mainly Clear"
"2012-01-13 11:00","2012","01","13","11:00","-18.6","Mainly Clear"
"2012-01-13 12:00","2012","01","13","12:00","-17.1","Mostly Cloudy"
"2012-01-13 13:00","2012","01","13","13:00","-16.7","Mostly Cloudy"
"2012-01-13 14:00","2012","01","13","14:00","-15.8","Mainly Clear"
"2012-01-13 15:00","2012","01","13","15:00","-15.2","Mostly Cloudy"
"2012-01-13 16:00","2012","01","13","16:00","-14.6","Mostly Cloudy"
"2012-01-13 17:00","2012","01","13","17:00","-13.9","Cloudy"
"2012-01-13 18:00","2012","01","13","18:00","-13.6","Snow"
"2012-01-13 19:00","2012","01","13","19:00","-13.3","Snow"
"2012-01-13 20:00","2012","01","13","20:00","-13.1","Snow"
"2012-01-13 21:00","2012","01","13","21:00","-13.0","Snow"
"2012-01-13 22:00","2012","01","13","22:00","-12.9","Snow"
"2012-01-13 23:00","2012","01","13","23:00","-12.5","Snow"
"2012-01-14 00:00","2012","01","14","00:00","-12.1","Snow"
"2012-01-14 01:00","2012","01","14","01:00","-11.7","Snow"
"2012-01-14 02:00","2012","01","14","02:00","-11.2","Snow"
"2012-01-14 03:00","2012","01","14","03:00","-10.8","Snow"
"2012-01-14 04:00","2012","01","14","04:00","-10.6","Snow"
"2012-01-14 05:00","2012","01","14","05:00","-10.4","Snow"
"2012-01-14 06:00","2012","01","14","06:00","-10.0","Snow"
"2012-01-14 07:00","2012","01","14","07:00","-9.8","Snow"
"2012-01-14 08:00","2012","01","14","08:00","-10.3","Snow"
"2012-01-14 09:00","2012","01","14","09:00","-10.2","Snow"
"2012-01-14 10:00","2012","01","14","10:00","-10.1","Snow"
"2012-01-14 11:00","2012","01","14","11:00","-9.7","Snow"
"2012-01-14 12:00","2012","01","14","12:00","-9.5","Snow"
"2012-01-14 13:00","2012","01","14","13:00","-9.6","Snow"
"2012-01-14 14:00","2012","01","14","14:00","-9.8","Snow"
"2012-01-14 15:00","2012","01","14","15:00","-10.0","Snow"
"2012-01-14 16:00","2012","01","14","16:00","-10.0","Snow"
"2012-01-14 17:00","2012","01","14","17:00","-10.0","Snow"
"2012-01-14 18:00","2012","01","14","18:00","-10.0","Cloudy"
"2012-01-14 19:00","2012","01","14","19:00","-9.7","Cloudy"
"2012-01-14 20:00","2012","01","14","20:00","-11.4","Mostly Cloudy"
"2012-01-14 21:00","2012","01","14","21:00","-10.5","Cloudy"
"2012-01-14 22:00","2012","01","14","22:00","-9.9","Snow"
"2012-01-14 23:00","2012","01","14","23:00","-9.0","Cloudy"
"2012-01-15 00:00","2012","01","15","00:00","-8.9","Cloudy"
"2012-01-15 01:00","2012","01","15","01:00","-8.6","Cloudy"
"2012-01-15 02:00","2012","01","15","02:00","-8.4","Cloudy"
"2012-01-15 03:00","2012","01","15","03:00","-7.9","Cloudy"
"2012-01-15 04:00","2012","01","15","04:00","-7.5","Cloudy"
"2012-01-15 05:00","2012","01","15","05:00","-6.8","Snow"
"2012-01-15 06:00","2012","01","15","06:00","-6.2","Snow"
"2012-01-15 07:00","2012","01","15","07:00","-5.5","Snow"
"2012-01-15 08:00","2012","01","15","08:00","-5.8","Mainly Clear"
"2012-01-15 09:00","2012","01","15","09:00","-5.8","Mainly Clear"
"2012-01-15 10:00","2012","01","15","10:00","-4.9","Mostly Cloudy"
"2012-01-15 11:00","2012","01","15","11:00","-4.2","Mostly Cloudy"
"2012-01-15 12:00","2012","01","15","12:00","-3.2","Mostly Cloudy"
"2012-01-15 13:00","2012","01","15","13:00","-1.7","Mostly Cloudy"
"2012-01-15 14:00","2012","01","15","14:00","-1.8","Mostly Cloudy"
"2012-01-15 15:00","2012","01","15","15:00","-2.0","Snow"
"2012-01-15 16:00","2012","01","15","16:00","-2.8","Snow Showers"
"2012-01-15 17:00","2012","01","15","17:00","-2.4","Cloudy"
"2012-01-15 18:00","2012","01","15","18:00","-2.0","Cloudy"
"2012-01-15 19:00","2012","01","15","19:00","-1.0","Cloudy"
"2012-01-15 20:00","2012","01","15","20:00","-4.7","Snow,Blowing Snow"
"2012-01-15 21:00","2012","01","15","21:00","-7.9","Blowing Snow"
"2012-01-15 22:00","2012","01","15","22:00","-10.1","Snow,Blowing Snow"
"2012-01-15 23:00","2012","01","15","23:00","-11.7","Snow,Blowing Snow"
"2012-01-16 00:00","2012","01","16","00:00","-12.9","Snow,Blowing Snow"
"2012-01-16 01:00","2012","01","16","01:00","-12.7","Snow,Blowing Snow"
"2012-01-16 02:00","2012","01","16","02:00","-13.6","Snow"
"2012-01-16 03:00","2012","01","16","03:00","-14.9","Ice Crystals"
"2012-01-16 04:00","2012","01","16","04:00","-16.0","Ice Crystals"
"2012-01-16 05:00","2012","01","16","05:00","-16.3","Ice Crystals"
"2012-01-16 06:00","2012","01","16","06:00","-16.7","Ice Crystals"
"2012-01-16 07:00","2012","01","16","07:00","-17.7","Mainly Clear"
"2012-01-16 08:00","2012","01","16","08:00","-18.8","Mainly Clear"
"2012-01-16 09:00","2012","01","16","09:00","-19.5","Mainly Clear"
"2012-01-16 10:00","2012","01","16","10:00","-18.1","Mainly Clear"
"2012-01-16 11:00","2012","01","16","11:00","-17.7","Mainly Clear"
"2012-01-16 12:00","2012","01","16","12:00","-17.4","Mostly Cloudy"
"2012-01-16 13:00","2012","01","16","13:00","-17.0","Mainly Clear"
"2012-01-16 14:00","2012","01","16","14:00","-16.6","Mainly Clear"
"2012-01-16 15:00","2012","01","16","15:00","-16.5","Mainly Clear"
"2012-01-16 16:00","2012","01","16","16:00","-17.2","Mainly Clear"
"2012-01-16 17:00","2012","01","16","17:00","-19.0","Mainly Clear"
"2012-01-16 18:00","2012","01","16","18:00","-20.4","Mainly Clear"
"2012-01-16 19:00","2012","01","16","19:00","-20.9","Clear"
"2012-01-16 20:00","2012","01","16","20:00","-21.8","Mainly Clear"
"2012-01-16 21:00","2012","01","16","21:00","-22.5","Mainly Clear"
"2012-01-16 22:00","2012","01","16","22:00","-23.0","Clear"
"2012-01-16 23:00","2012","01","16","23:00","-23.7","Clear"
"2012-01-17 00:00","2012","01","17","00:00","-23.5","Clear"
"2012-01-17 01:00","2012","01","17","01:00","-24.2","Clear"
"2012-01-17 02:00","2012","01","17","02:00","-25.2","Clear"
"2012-01-17 03:00","2012","01","17","03:00","-26.0","Clear"
"2012-01-17 04:00","2012","01","17","04:00","-26.6","Clear"
